Περιοχή,Είδος,Κατάστημα,Νομός,Διεύθυνση,TK,Τηλέφωνα
ΑΓΙΑ ΑΝΝΑ,,ΚΤ ΚΑΤΕΡΙΝΗ,ΠΙΕΡΙΑΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ 78-80,60133,23510-30000 & 23510-34444
ΑΓΙΑ ΑΝΝΑ,ΔΠ,ΚΡ ΚΕΡΚΥΡΑ,ΚΕΡΚΥΡΑΣ,ΣΤΡ.ΚΟΚΟΝΕΤΣΗ 10 (ΕΝΑΝΤΙ ΛΙΜΕΝΑΡΧ.),49083,26610-45791
ΑΓΙΑ ΑΝΝΑ,ΔΠ,ΜΡ ΜΟΙΡΕΣ,ΗΡΑΚΛΕΙΟΥ,25ΗΣ ΜΑΡΤΙΟΥ 70  (ΕΝΑΝΤΙ ΗΡΩΟΥ),70010,28920-29147
ΑΓΙΑ ΑΝΝΑ (ΑΧΑΙΑΣ),ΔΠ,ΑΙ ΑΙΓΙΟ,ΑΧΑΙΑΣ,Κορίνθου 20,25100,26910-68700
ΑΓΙΑ ΑΝΝΑ (ΒΟΙΩΤΙΑΣ),ΔΠ,ΛΒ ΛΙΒΑΔΕΙΑ,ΒΟΙΩΤΙΑΣ,Δελφών 59,32150,22610-88933
ΑΓΙΑ ΑΝΝΑ (ΕΥΒΟΙΑΣ),ΔΠ,ΕΒ ΙΣΤΙΑΙΑ,ΕΥΒΟΙΑΣ,ΑΘ. ΚΟΡΦΙΑΤΗ 35,34005,22260-56007
ΑΓΙΑ ΑΝΝΑ (ΗΛΕΙΑΣ),ΔΠ,ΠΥ ΠΥΡΓΟΣ,ΗΛΕΙΑΣ,Υψηλάντου 22,27064,26210-25791
ΑΓΙΑ ΑΝΝΑ (ΚΑΣΤΟΡΙΑΣ),ΔΠ,ΚΣ ΚΑΣΤΟΡΙΑ,ΚΑΣΤΟΡΙΑΣ,ΓΡΑΜΜΟΥ 39,52051,24670-82550
ΑΓΙΑ ΒΑΡΒΑΡΑ,,ΛΜ ΛΑΜΙΑ,ΦΘΙΩΤΙΔΟΣ,ΘΕΡΜΟΠΥΛΩΝ 23,35133,22310-23901 & 22310-51553
ΑΓΙΑ ΒΑΡΒΑΡΑ,,ΒΛ ΒΟΛΟΣ,ΜΑΓΝΗΣΙΑΣ,Ιάσονος 1,38446,24210-36100
ΑΓΙΑ ΒΑΡΒΑΡΑ,ΔΠ,ΑΓ ΑΓΡΙΝΙΟ,ΑΙΤΩΛ/ΝΙΑΣ,ΜΑΒΙΛΗ 12,30100,26410-33141 & 26410-33241
ΑΓΙΑ ΒΑΡΒΑΡΑ,ΔΠ,ΜΤ ΜΥΤΙΛΗΝΗ,ΛΕΣΒΟΥ,ΕΛΕΥΘΕΡΙΟΥ ΒΕΝΙΖΕΛΟΥ 20,81200,22510-46500
ΑΓΙΑ ΒΑΡΒΑΡΑ,,ΚΤ ΚΑΤΕΡΙΝΗ,ΠΙΕΡΙΑΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ 78-80,60150,23510-30000 & 23510-34444
ΑΓΙΑ ΒΑΡΒΑΡΑ,,ΒΝ ΜΕΤΑΜΟΡΦΩΣΗ,ΑΤΤΙΚΗΣ,ΓΕΩΡΓΙΟΥ ΠΑΠΑΝΔΡΕΟΥ 175,14451,210-2835000
ΑΓΙΑ ΒΑΡΒΑΡΑ,,ΤΝ ΤΗΝΟΣ,ΚΥΚΛΑΔΩΝ,25ης Μαρτίου και Ζανάκη Αλαβάνου,84200,22830-25583
ΑΓΙΑ ΒΑΡΒΑΡΑ,,ΑΒ ΧΑΙΔΑΡΙ,ΑΤΤΙΚΗΣ,ΛΕΩΦ. ΑΘΗΝΩΝ 281,12351,2177773700 & 210-5989984
ΑΓΙΑ ΒΑΡΒΑΡΑ,,ΚΜ ΚΟΜΟΤΗΝΗ,ΡΟΔΟΠΗΣ,ΤΕΡΜΑ ΑΝΑΠΑΥΣΕΩΣ,69131,25310-73700 & 25310-84433
ΑΓΙΑ ΒΑΡΒΑΡΑ (ΑΚΡΑΤΑΣ ΑΧΑΙΑΣ),ΔΠ,ΑΙ ΑΙΓΙΟ,ΑΧΑΙΑΣ,Κορίνθου 20,25006,26910-68700
ΑΓΙΑ ΒΑΡΒΑΡΑ (ΑΝΑΤΟΛΙΚΟΥ ΖΑΓΟΡΙΟΥ ΙΩΑΝΝΙΝΩΝ),ΔΠ,ΙΝ ΙΩΑΝΝΙΝΑ,ΙΩΑΝΝΙΝΩΝ,ΔΩΔΩΝΗΣ 161,44200,26510-66966
ΑΓΙΑ ΒΑΡΒΑΡΑ (ΑΡΚΑΔΙΑΣ),ΔΠ,ΤΙ ΤΡΙΠΟΛΗ,ΑΡΚΑΔΙΑΣ,ΕΛΕΥΘΕΡΙΟΥ ΒΕΝΙΖΕΛΟΥ 28,22012,2710-221806
ΑΓΙΑ ΒΑΡΒΑΡΑ (ΗΜΑΘΙΑΣ),ΔΠ,ΒΡ ΒΕΡΟΙΑ,ΗΜΑΘΙΑΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ 50,59150,23310-75400
ΑΓΙΑ ΒΑΡΒΑΡΑ (ΗΡΑΚΛΕΙΟΥ),ΔΠ,ΜΡ ΜΟΙΡΕΣ,ΗΡΑΚΛΕΙΟΥ,25ΗΣ ΜΑΡΤΙΟΥ 70  (ΕΝΑΝΤΙ ΗΡΩΟΥ),70003,28920-29147
ΑΓΙΑ ΒΑΡΒΑΡΑ (ΘΕΣΠΡΩΤΙΑΣ),ΔΠ,ΗΓ ΗΓΟΥΜΕΝΙΤΣΑ,ΘΕΣΠΡΩΤΙΑΣ,ΙΩΑΝΝΙΝΩΝ 1,44003,26650-28111 & 26650-22987
ΑΓΙΑ ΒΑΡΒΑΡΑ (ΚΕΚΡΟΠΙΑΣ ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ),ΔΠ,ΛΚ ΛΕΥΚΑΔΑ,ΛΕΥΚΑΔΑΣ,ΕΥΣΤ. ΖΑΚΚΑ 21 - ΠΛΑΤΕΙΑ ΑΓΙΟΥ ΜΗΝΑ,30002,26450-23313
ΑΓΙΑ ΒΑΡΒΑΡΑ (ΚΟΝΙΤΣΑΣ ΙΩΑΝΝΙΝΩΝ),ΔΠ,ΙΒ ΙΩΑΝΝΙΝΑ 2,ΙΩΑΝΝΙΝΩΝ,ΚΑΛΛΑΡΗ 47,44100,26510-27074
ΑΓΙΑ ΒΑΡΒΑΡΑ (ΛΑΚΩΝΙΑΣ),ΔΠ,ΣΠ ΣΠΑΡΤΗ,ΛΑΚΩΝΙΑΣ,ΛΕΩΝΙΔΟΥ 40,23062,27310-28403
ΑΓΙΑ ΒΑΡΒΑΡΑ (ΛΑΣΙΘΙΟΥ),ΔΠ,ΑΝ ΑΓ.ΝΙΚΟΛΑΟΣ,ΛΑΣΙΘΙΟΥ,ΕΠΙΜΕΝΙΔΟΥ 30,72400,28410-24252
ΑΓΙΑ ΒΑΡΒΑΡΑ (ΜΑΡΚΟΠΟΥΛΟΥ ΩΡΩΠΟΥ ΑΤΤΙΚΗΣ),ΔΠ,ΒΨ ΑΓ. ΣΤΕΦΑΝΟΣ,ΑΤΤΙΚΗΣ,"ΛΕΩΦ.ΜΑΡΑΘΩΝΟΣ 61-63, ΑΝΟΙΞΗ",19015,210-6217440
ΑΓΙΑ ΒΑΡΒΑΡΑ (ΠΑΝΑΙΤΩΛΙΚΟΥ ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ),,ΑΓ ΑΓΡΙΝΙΟ,ΑΙΤΩΛ/ΝΙΑΣ,ΜΑΒΙΛΗ 12,30010,26410-33141 & 26410-33241
ΑΓΙΑ ΒΑΡΒΑΡΑ (ΠΑΡΑΒΟΛΑΣ ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ),,ΑΓ ΑΓΡΙΝΙΟ,ΑΙΤΩΛ/ΝΙΑΣ,ΜΑΒΙΛΗ 12,30010,26410-33141 & 26410-33241
ΑΓΙΑ ΒΑΡΒΑΡΑ (ΤΡΙΤΑΙΑΣ ΑΧΑΙΑΣ),ΔΠ,ΠΚ ΠΑΤΡΑ 4 (ΚΑΤΩ ΑΧΑΙΑ),ΑΧΑΙΑΣ,Αθηνάς 15,25015,26930-22227 & 22207
ΑΓΙΑ ΒΑΡΒΑΡΑ ΑΡΓΥΡΟΥΠΟΛΕΩΣ,,ΑΑ ΑΡΓΥΡΟΥΠΟΛΗ,ΑΤΤΙΚΗΣ,ΛΕΩΦ. ΚΥΠΡΟΥ 158,16452,"210-9944904, 210-9606070"
ΑΓΙΑ ΒΑΡΒΑΡΑ ΔΑΦΝΗΣ,,ΒΕ ΗΛΙΟΥΠΟΛΗ,ΑΤΤΙΚΗΣ,ΕΡΓΑΤΩΝ ΤΥΠΟΥ 4,17235,210-9714000
ΑΓΙΑ ΒΑΡΒΑΡΑ ΙΛΙΟΥ,,ΒΘ ΑΓΙΟΙ ΑΝΑΡΓΥΡΟΙ,ΑΤΤΙΚΗΣ,ΚΥΠΡΟΥ 41 & ΑΡΕΤΗΣ,13122,210-2693523 & 210-2693553
ΑΓΙΑ ΒΑΡΒΑΡΑ ΚΕΡΑΤΣΙΝΙΟΥ,,ΑΖ ΚΕΡΑΤΣΙΝΙ,ΑΤΤΙΚΗΣ,ΛΕΩΦ. ΔΗΜΟΚΡΑΤΙΑΣ 140,18757,210-4010030 & 210-4010032
ΑΓΙΑ ΒΑΡΒΑΡΑ ΛΥΚΟΒΡΥΣΕΩΣ,,ΒΝ ΜΕΤΑΜΟΡΦΩΣΗ,ΑΤΤΙΚΗΣ,ΓΕΩΡΓΙΟΥ ΠΑΠΑΝΔΡΕΟΥ 175,14123,210-2835000
ΑΓΙΑ ΒΑΡΒΑΡΑ ΦΑΛΗΡΟΥ,,ΒΒ ΝΕΑ ΣΜΥΡΝΗ,ΑΤΤΙΚΗΣ,ΕΛΕΥΘΕΡΙΟΥ ΒΕΝΙΖΕΛΟΥ 148,17563,210-9329555 & 210-9329559
ΑΓΙΑ ΒΛΑΧΕΡΝΑ,ΔΠ,ΚΕ ΚΑΡΠΕΝΗΣΙ,ΕΥΡΥΤΑΝΙΑΣ,ΑΘ. ΔΙΑΚΟΥ 3,36100,22370-22313
ΑΓΙΑ ΓΑΛΗΝΗ,ΔΠ,ΡΘ ΡΕΘΥΜΝΟ,ΡΕΘΥΜΝΟΥ,ΣΤΑΜΑΘΙΟΥΔΑΚΗ 38,74053,28310-35535 & 26205
ΑΓΙΑ ΔΕΥΤΕΡΑ,ΔΠ,ΑΓ ΑΓΡΙΝΙΟ,ΑΙΤΩΛ/ΝΙΑΣ,ΜΑΒΙΛΗ 12,30100,26410-33141 & 26410-33241
ΑΓΙΑ ΕΙΡΗΝΗ,,ΗΡ ΗΡΑΚΛΕΙΟ,ΗΡΑΚΛΕΙΟΥ,"ΛΕΩΦ. ΙΚΑΡΟΥ 44, ΑΛΙΚΑΡΝΑΣΣΟΣ",71500,2810-333639
ΑΓΙΑ ΕΙΡΗΝΗ,ΔΠ,ΣΝ ΣΑΝΤΟΡΙΝΗ,ΚΥΚΛΑΔΩΝ,"ΕΠΑΡΧΙΑΚΗ ΟΔΟΣ ΦΗΡΩΝ-ΜΕΣΣΑΡΙΑΣ,θΕΣΗ ΚΑΡΤΕΡΑΔΟΣ",84702,22860-25700
ΑΓΙΑ ΕΙΡΗΝΗ,ΔΠ,ΚΘ ΚΥΘΝΟΣ,ΚΥΚΛΑΔΩΝ,ΜΕΡΙΧΑΣ ΚΥΘΝΟΥ,84006,22810-32372
ΑΓΙΑ ΕΙΡΗΝΗ,ΔΠ,ΝΑ ΝΑΥΠΑΚΤΟΣ,ΑΙΤΩΛ/ΝΙΑΣ,ΑΘΑΝΑΣΙΑΔΗ  ΝΟΒΑ 30,33058,26340-38666
ΑΓΙΑ ΕΙΡΗΝΗ,ΔΠ,ΣΤ ΣΗΤΕΙΑ,ΛΑΣΙΘΙΟΥ,ΑΝΘΕΩΝ 12,72300,28430-20997 & 20999
ΑΓΙΑ ΕΙΡΗΝΗ (ΕΥΒΟΙΑΣ),ΔΠ,ΧΛ ΧΑΛΚΙΔΑ,ΕΥΒΟΙΑΣ,Γ. ΠΑΠΑΝΔΡΕΟΥ 4,34600,22210-73333 & 22210-21120
ΑΓΙΑ ΕΙΡΗΝΗ (ΚΕΦΑΛΛΗΝΙΑΣ),ΔΠ,ΚΦ ΚΕΦΑΛΛΟΝΙΑ,ΚΕΦΑΛΛΗΝΙΑΣ,Γεωργίου Βεργωτή 42,28086,26710-28002 & 26710-28028
ΑΓΙΑ ΕΙΡΗΝΗ (ΚΡΟΥΣΩΝΑ ΗΡΑΚΛΕΙΟΥ),ΔΠ,ΗΤ ΒΟΥΤΕΣ ΗΡΑΚΛΕΙΟΥ,ΗΡΑΚΛΕΙΟΥ,ΔΙΑΣΤΑΥΡΩΣΗ ΠΕΠΑΓΝΗ- Ι.Τ.Ε.,70013,2810-542255
ΑΓΙΑ ΕΙΡΗΝΗ (ΛΑΚΩΝΙΑΣ),,ΣΠ ΣΠΑΡΤΗ,ΛΑΚΩΝΙΑΣ,ΛΕΩΝΙΔΟΥ 40,23150,27310-28403
ΑΓΙΑ ΕΙΡΗΝΗ (ΡΕΘΥΜΝΗΣ),,ΡΘ ΡΕΘΥΜΝΟ,ΡΕΘΥΜΝΟΥ,ΣΤΑΜΑΘΙΟΥΔΑΚΗ 38,74150,28310-35535 & 26205
ΑΓΙΑ ΕΙΡΗΝΗ (ΧΑΝΙΩΝ),ΔΠ,ΧΝ ΧΑΝΙΑ (ΚΕΝΤΡΙΚΟ),ΧΑΝΙΩΝ,ΑΝΑΓΝ. ΓΟΓΟΝΗ 129,73004,28210-92520
ΑΓΙΑ ΕΙΡΗΝΗ ΓΑΛΑΤΣΙΟΥ,,ΒΞ ΓΑΛΑΤΣΙ,ΑΤΤΙΚΗΣ,"ΛΕΩΦ.  ΗΡΑΚΛΕΙΟΥ 133, ΠΕΡΙΣΣΟΣ",11146,210-2110590
ΑΓΙΑ ΕΙΡΗΝΗ ΛΥΚΟΒΡΥΣΕΩΣ,,ΒΝ ΜΕΤΑΜΟΡΦΩΣΗ,ΑΤΤΙΚΗΣ,ΓΕΩΡΓΙΟΥ ΠΑΠΑΝΔΡΕΟΥ 175,14123,210-2835000
ΑΓΙΑ ΕΛΕΝΗ (ΑΤΤΙΚΗΣ),ΔΠ,ΠΟ ΠΟΡΟΣ,ΑΤΤΙΚΗΣ,"25ΗΣ ΜΑΡΤΙΟΥ 29, ΓΑΛΑΤΑΣ",18020,22980-43413
ΑΓΙΑ ΕΛΕΝΗ (ΣΕΡΡΩΝ),,ΣΡ ΣΕΡΡΕΣ,ΣΕΡΡΩΝ,ΒΕΝΙΖΕΛΟΥ 91,62500,23210-50889 & 23210-50887
ΑΓΙΑ ΕΛΕΟΥΣΑ,,ΒΚ ΚΑΛΛΙΘΕΑ,ΑΤΤΙΚΗΣ,ΕΛ.ΒΕΝΙΖΕΛΟΥ 272 Α,17675,210-9413444
ΑΓΙΑ ΕΛΕΟΥΣΑ,,ΑΒ ΧΑΙΔΑΡΙ,ΑΤΤΙΚΗΣ,ΛΕΩΦ. ΑΘΗΝΩΝ 281,12351,2177773700 & 210-5989984
ΑΓΙΑ ΕΛΕΟΥΣΑ,ΔΠ,ΝΔ ΑΝΔΡΟΣ,ΚΥΚΛΑΔΩΝ,ΧΩΡΑ ΑΝΔΡΟΥ,84500,22820-24143 & 22820-24144
ΑΓΙΑ ΕΛΕΟΥΣΑ,ΔΠ,ΡΔ ΡΟΔΟΣ (ΚΕΝΤΡΙΚΟ),ΔΩΔ/ΝΗΣΟΥ,ΑΥΣΤΡΑΛΙΑΣ 60,85104,22410-27000 & 2241601510
ΑΓΙΑ ΕΛΕΟΥΣΑ (ΑΧΑΙΑΣ),ΔΠ,ΠΚ ΠΑΤΡΑ 4 (ΚΑΤΩ ΑΧΑΙΑ),ΑΧΑΙΑΣ,Αθηνάς 15,25008,26930-22227 & 22207
ΑΓΙΑ ΕΡΜΙΟΝΗ,,ΧΣ ΧΙΟΣ,ΧΙΟΥ,Καλουτά 28,82150,22710-25468
ΑΓΙΑ ΕΥΘΥΜΙΑ,ΔΠ,ΑΦ ΑΜΦΙΣΣΑ,ΦΩΚΙΔΟΣ,Β.ΚΑΝΑΤΑ 1,33100,22650-79288
ΑΓΙΑ ΕΥΦΗΜΙΑ,ΔΠ,ΚΦ ΚΕΦΑΛΛΟΝΙΑ,ΚΕΦΑΛΛΗΝΙΑΣ,Γεωργίου Βεργωτή 42,28081,26710-28002 & 26710-28028
ΑΓΙΑ ΕΥΦΗΜΙΑ,,ΒΞ ΓΑΛΑΤΣΙ,ΑΤΤΙΚΗΣ,"ΛΕΩΦ.  ΗΡΑΚΛΕΙΟΥ 133, ΠΕΡΙΣΣΟΣ",14343,210-2110590
ΑΓΙΑ ΖΩΝΗ,,ΑΤ ΑΜΠΕΛΟΚΗΠΟΙ,ΑΤΤΙΚΗΣ,ΕΥΕΛΠΙΔΩΝ 39 & ΚΕΡΚΥΡΑΣ 2,11256,210-6411350
ΑΓΙΑ ΖΩΝΗ,,ΣΜ ΣΑΜΟΣ,ΣΑΜΟΥ,ΘΕΜ. ΣΟΦΟΥΛΗ & Ι. ΛΕΚΑΤΗ 1,83100,22730-80788
ΑΓΙΑ ΖΩΝΗ,ΔΠ,ΧΝ ΧΑΝΙΑ (ΚΕΝΤΡΙΚΟ),ΧΑΝΙΩΝ,ΑΝΑΓΝ. ΓΟΓΟΝΗ 129,73500,28210-92520
ΑΓΙΑ ΘΕΚΛΑ,ΔΠ,ΕΝ ΑΛΙΒΕΡΙ,ΕΥΒΟΙΑΣ,ΤΑΜΥΝΑΙΩΝ 45,34009,22230-29720
ΑΓΙΑ ΘΕΚΛΗ (ΖΑΚΥΝΘΟΥ),ΔΠ,ΖΚ ΖΑΚΥΝΘΟΣ,ΖΑΚΥΝΘΟΥ,ΘΕΣΗ ΦΛΟΚΑ ΓΑΪΤΑΝΙΟΥ,29090,26950-29900
ΑΓΙΑ ΘΕΚΛΗ (ΚΕΦΑΛΛΗΝΙΑΣ),ΔΠ,ΚΦ ΚΕΦΑΛΛΟΝΙΑ,ΚΕΦΑΛΛΗΝΙΑΣ,Γεωργίου Βεργωτή 42,28200,26710-28002 & 26710-28028
ΑΓΙΑ ΘΕΟΔΟΤΗ,ΔΠ,ΙΟ ΙΟΣ,ΚΥΚΛΑΔΩΝ,ΧΩΡΑ ΙΟΥ,84001,22860-91254
ΑΓΙΑ ΚΥΡΙΑΚΗ,ΔΠ,ΒΛ ΒΟΛΟΣ,ΜΑΓΝΗΣΙΑΣ,Ιάσονος 1,37006,24210-36100
ΑΓΙΑ ΚΥΡΙΑΚΗ,ΔΠ,ΠΛ ΠΟΛΥΓΥΡΟΣ,ΧΑΛΚΙΔΙΚΗΣ,ΠΟΛΥΤΕΧΝΕΙΟΥ 23,63081,23710-23277
ΑΓΙΑ ΚΥΡΙΑΚΗ,,ΝΠ ΝΑΥΠΛΙΟ,ΑΡΓΟΛΙΔΑΣ,ΧΑΡ. ΤΡΙΚΟΥΠΗ 1 & ΤΕΝΕΔΟΥ,21100,27520-96160
ΑΓΙΑ ΚΥΡΙΑΚΗ,,ΚΖ ΚΟΖΑΝΗ,ΚΟΖΑΝΗΣ,ΤΕΡΜΑ ΦΙΛΙΠΠΟΥ Β',50150,24610-21100 & 24610-33446
ΑΓΙΑ ΚΥΡΙΑΚΗ,,ΚΦ ΚΕΦΑΛΛΟΝΙΑ,ΚΕΦΑΛΛΗΝΙΑΣ,Γεωργίου Βεργωτή 42,28100,26710-28002 & 26710-28028
ΑΓΙΑ ΚΥΡΙΑΚΗ,,ΒΒ ΝΕΑ ΣΜΥΡΝΗ,ΑΤΤΙΚΗΣ,ΕΛΕΥΘΕΡΙΟΥ ΒΕΝΙΖΕΛΟΥ 148,17564,210-9329555 & 210-9329559
ΑΓΙΑ ΚΥΡΙΑΚΗ,ΔΠ,ΙΚ ΙΚΑΡΙΑ,ΣΑΜΟΥ,ΑΓΙΟΣ ΚΗΡΥΚΟΣ,83302,22750-22444
ΑΓΙΑ ΚΥΡΙΑΚΗ,ΔΠ,ΙΚ ΙΚΑΡΙΑ,ΣΑΜΟΥ,ΑΓΙΟΣ ΚΗΡΥΚΟΣ,83300,22750-22444
ΑΓΙΑ ΚΥΡΙΑΚΗ (ΑΤΤΙΚΗΣ),,ΑΠ ΠΑΛΛΗΝΗ,ΑΤΤΙΚΗΣ,ΛΕΩΦΟΡΟΣ ΜΑΡΑΘΩΝΟΣ 46,19004,210-6664728 & 210-6664709
ΑΓΙΑ ΚΥΡΙΑΚΗ (ΗΛΕΙΑΣ),ΔΠ,ΑΜ ΑΜΑΛΙΑΔΑ,ΗΛΕΙΑΣ,Κουρογιαννοπούλου 16,27063,26220-23495
ΑΓΙΑ ΚΥΡΙΑΚΗ (ΘΕΣΠΡΩΤΙΑΣ),ΔΠ,ΗΓ ΗΓΟΥΜΕΝΙΤΣΑ,ΘΕΣΠΡΩΤΙΑΣ,ΙΩΑΝΝΙΝΩΝ 1,46200,26650-28111 & 26650-22987
ΑΓΙΑ ΚΥΡΙΑΚΗ (ΙΩΑΝΝΙΝΩΝ),ΔΠ,ΙΒ ΙΩΑΝΝΙΝΑ 2,ΙΩΑΝΝΙΝΩΝ,ΚΑΛΛΑΡΗ 47,45500,26510-27074
ΑΓΙΑ ΚΥΡΙΑΚΗ (ΚΑΣΤΟΡΙΑΣ),,ΚΣ ΚΑΣΤΟΡΙΑ,ΚΑΣΤΟΡΙΑΣ,ΓΡΑΜΜΟΥ 39,52050,24670-82550
ΑΓΙΑ ΚΥΡΙΑΚΗ (ΚΙΛΚΙΣ),,ΚΙ ΚΙΛΚΙΣ,ΚΙΛΚΙΣ,ΕΛΕΥΘΕΡΙΟΥ ΒΕΝΙΖΕΛΟΥ 40,61100,23410-29454
ΑΓΙΑ ΚΥΡΙΑΚΗ (ΚΟΖΑΝΗΣ),ΔΠ,ΚΖ ΚΟΖΑΝΗ,ΚΟΖΑΝΗΣ,ΤΕΡΜΑ ΦΙΛΙΠΠΟΥ Β',50400,24610-21100 & 24610-33446
ΑΓΙΑ ΚΥΡΙΑΚΗ (ΜΕΣΣΗΝΙΑΣ),ΔΠ,ΚΛ ΚΑΛΑΜΑΤΑ,ΜΕΣΣΗΝΙΑΣ,ΨΑΡΩΝ 94,24300,27210-88271
ΑΓΙΑ ΚΥΡΙΑΚΗ (ΜΟΝΕΜΒΑΣΙΑΣ ΛΑΚΩΝΙΑΣ),ΔΠ,ΣΠ ΣΠΑΡΤΗ,ΛΑΚΩΝΙΑΣ,ΛΕΩΝΙΔΟΥ 40,23070,27310-28403
ΑΓΙΑ ΚΥΡΙΑΚΗ (ΝΗΣΙΔΑ),ΔΠ,ΣΥ ΑΣΤΥΠΑΛΑΙΑ,ΔΩΔ/ΝΗΣΟΥ,ΑΣΤΥΠΑΛΑΙΑ,85900,22430-59888
ΑΓΙΑ ΚΥΡΙΑΚΗ (ΟΙΤΥΛΟΥ ΛΑΚΩΝΙΑΣ),ΔΠ,ΣΠ ΣΠΑΡΤΗ,ΛΑΚΩΝΙΑΣ,ΛΕΩΝΙΔΟΥ 40,23062,27310-28403
ΑΓΙΑ ΚΥΡΙΑΚΗ (ΠΡΕΒΕΖΗΣ),ΔΠ,ΠΡ ΠΡΕΒΕΖΑ,ΠΡΕΒΕΖΑΣ,Λεωφόρος Ιωαννίνων 212,48060,26820-28128
ΑΓΙΑ ΚΥΡΙΑΚΗ (ΣΑΜΟΥ),ΔΠ,ΣΜ ΣΑΜΟΣ,ΣΑΜΟΥ,ΘΕΜ. ΣΟΦΟΥΛΗ & Ι. ΛΕΚΑΤΗ 1,83102,22730-80788
ΑΓΙΑ ΚΥΡΙΑΚΗ (ΣΠΑΡΤΗΣ ΛΑΚΩΝΙΑΣ),,ΣΠ ΣΠΑΡΤΗ,ΛΑΚΩΝΙΑΣ,ΛΕΩΝΙΔΟΥ 40,23150,27310-28403
ΑΓΙΑ ΚΥΡΙΑΚΗ (ΤΡΙΚΑΛΩΝ),,ΤΡ ΤΡΙΚΑΛΑ,ΤΡΙΚΑΛΩΝ,ΒΑΣ. ΤΣΙΤΣΑΝΗ 41,42150,24310-20081 & 24310-72646
ΑΓΙΑ ΚΥΡΙΑΚΗ Η ΚΟΥΝΤΟΥΡΑ (ΧΑΝΙΩΝ),ΔΠ,ΧΝ ΧΑΝΙΑ (ΚΕΝΤΡΙΚΟ),ΧΑΝΙΩΝ,ΑΝΑΓΝ. ΓΟΓΟΝΗ 129,73001,28210-92520
ΑΓΙΑ ΜΑΡΙΝΑ,,ΤΡ ΤΡΙΚΑΛΑ,ΤΡΙΚΑΛΩΝ,ΒΑΣ. ΤΣΙΤΣΑΝΗ 41,42132,24310-20081 & 24310-72646
ΑΓΙΑ ΜΑΡΙΝΑ,,ΑΚ ΜΑΡΟΥΣΙ,ΑΤΤΙΚΗΣ,ΑΡΤΕΜΙΔΟΣ 2 & Κ.ΑΙΤΩΛΟΥ 3,15127,216-1000500
ΑΓΙΑ ΜΑΡΙΝΑ,ΔΠ,ΒΛ ΒΟΛΟΣ,ΜΑΓΝΗΣΙΑΣ,Ιάσονος 1,37100,24210-36100
ΑΓΙΑ ΜΑΡΙΝΑ,ΔΠ,ΑΟ ΑΡΓΟΣ,ΑΡΓΟΛΙΔΑΣ,Μεσσηνίας Αρκαδίας 115,22001,27510-61121
ΑΓΙΑ ΜΑΡΙΝΑ,ΔΠ,ΕΝ ΑΛΙΒΕΡΙ,ΕΥΒΟΙΑΣ,ΤΑΜΥΝΑΙΩΝ 45,34013,22230-29720
ΑΓΙΑ ΜΑΡΙΝΑ,,ΑΩ ΠΙΚΕΡΜΙ,ΑΤΤΙΚΗΣ,Λεωφόρος Μαραθώνος 2,19005,210-6043758
ΑΓΙΑ ΜΑΡΙΝΑ,,ΑΕ ΠΕΡΙΣΤΕΡΙ,ΑΤΤΙΚΗΣ,Παύλου Μελά 11,12135,210-5782111
ΑΓΙΑ ΜΑΡΙΝΑ,ΔΠ,ΗΓ ΗΓΟΥΜΕΝΙΤΣΑ,ΘΕΣΠΡΩΤΙΑΣ,ΙΩΑΝΝΙΝΩΝ 1,44003,26650-28111 & 26650-22987
ΑΓΙΑ ΜΑΡΙΝΑ,,ΠΥ ΠΥΡΓΟΣ,ΗΛΕΙΑΣ,Υψηλάντου 22,27131,26210-25791
ΑΓΙΑ ΜΑΡΙΝΑ,,ΛΡ ΛΑΡΙΣΑ 1,ΛΑΡΙΣΗΣ,ΒΕΛΛΗ 6,41336,2410-252460
ΑΓΙΑ ΜΑΡΙΝΑ,ΔΠ,ΚΚ ΚΕΑ,ΚΥΚΛΑΔΩΝ,ΚΟΡΗΣΣΙΑ ΚΕΑΣ,84002,22880-29021
ΑΓΙΑ ΜΑΡΙΝΑ,ΔΠ,ΜΡ ΜΟΙΡΕΣ,ΗΡΑΚΛΕΙΟΥ,25ΗΣ ΜΑΡΤΙΟΥ 70  (ΕΝΑΝΤΙ ΗΡΩΟΥ),70010,28920-29147
ΑΓΙΑ ΜΑΡΙΝΑ,,ΗΤ ΒΟΥΤΕΣ ΗΡΑΚΛΕΙΟΥ,ΗΡΑΚΛΕΙΟΥ,ΔΙΑΣΤΑΥΡΩΣΗ ΠΕΠΑΓΝΗ- Ι.Τ.Ε.,71414,2810-542255
ΑΓΙΑ ΜΑΡΙΝΑ (ΑΙΓΙΝΑΣ ΑΤΤΙΚΗΣ),,ΓΑ ΑΙΓΙΝΑ,ΑΤΤΙΚΗΣ,ΑΦΑΙΑΣ 31,18010,22970-29300
